device,useragent
edge,"Mozilla/5.0 (Windows; Windows NT 10.4; x64) AppleWebKit/533.18 (KHTML, like Gecko) Chrome/51.0.1072.230 Safari/603.8 Edge/16.41830"
android,"Mozilla/5.0 (Linux; U; Android 5.0.2; LG-D728 Build/LRX22G) AppleWebKit/601.46 (KHTML, like Gecko)  Chrome/54.0.2150.224 Mobile Safari/600.8"
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 9_8_3) Gecko/20100101 Firefox/51.8
firefox,Mozilla/5.0 (Linux i555 ) Gecko/20100101 Firefox/56.3
mac,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_11_2) AppleWebKit/534.27 (KHTML, like Gecko) Chrome/47.0.1432.323 Safari/602"
firefox,Mozilla/5.0 (Linux x86_64) Gecko/20100101 Firefox/58.5
chrome,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_9_9; en-US) AppleWebKit/600.39 (KHTML, like Gecko) Chrome/54.0.2461.264 Safari/536"
firefox,Mozilla/5.0 (Macintosh; Intel Mac OS X 7_6_0) Gecko/20130401 Firefox/65.2
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_5_2; like Mac OS X) AppleWebKit/534.38 (KHTML, like Gecko)  Chrome/47.0.1508.221 Mobile Safari/536.5"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_0_2; like Mac OS X) AppleWebKit/535.37 (KHTML, like Gecko)  Chrome/54.0.2576.199 Mobile Safari/535.0"
explorer,Mozilla/5.0 (compatible; MSIE 8.0; Windows; Windows NT 6.1;; en-US Trident/4.0)
firefox,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_8) Gecko/20100101 Firefox/73.3
firefox,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_4_1; en-US) Gecko/20100101 Firefox/63.3
chrome,"Mozilla/5.0 (Windows NT 10.5; Win64; x64) AppleWebKit/533.10 (KHTML, like Gecko) Chrome/52.0.3521.112 Safari/533"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_4_2; like Mac OS X) AppleWebKit/603.31 (KHTML, like Gecko)  Chrome/54.0.1250.139 Mobile Safari/601.0"
linux,Mozilla/5.0 (Linux; U; Linux i651 x86_64; en-US) Gecko/20100101 Firefox/69.5
mobile,"Mozilla/5.0 (Android; Android 4.4; Nokia 3110 Build/IMM76D) AppleWebKit/603.36 (KHTML, like Gecko)  Chrome/53.0.2433.307 Mobile Safari/536.9"
windows,Mozilla/5.0 (Windows; U; Windows NT 6.1; WOW64; en-US) Gecko/20100101 Firefox/68.7
explorer,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.2; x64 Trident/5.0)
windows,Mozilla/5.0 (Windows; Windows NT 10.4; Win64; x64; en-US) Gecko/20130401 Firefox/72.7
edge,"Mozilla/5.0 (Windows; Windows NT 10.1;; en-US) AppleWebKit/601.44 (KHTML, like Gecko) Chrome/53.0.2136.322 Safari/533.4 Edge/9.24384"
firefox,Mozilla/5.0 (U; Linux x86_64) Gecko/20100101 Firefox/52.2
explorer,Mozilla/5.0 (compatible; MSIE 7.0; Windows; Windows NT 6.0; x64 Trident/4.0)
chrome,"Mozilla/5.0 (Windows; U; Windows NT 6.0; x64) AppleWebKit/602.41 (KHTML, like Gecko) Chrome/55.0.2502.150 Safari/600"
linux,Mozilla/5.0 (Linux; U; Linux i546 ; en-US) Gecko/20100101 Firefox/48.5
mobile,"Mozilla/5.0 (iPad; CPU iPad OS 11_1_4 like Mac OS X) AppleWebKit/534.33 (KHTML, like Gecko)  Chrome/49.0.2859.248 Mobile Safari/601.0"
explorer,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; x64; en-US Trident/6.0)
explorer,Mozilla/5.0 (compatible; MSIE 10.0; Windows; U; Windows NT 6.2; WOW64; en-US Trident/6.0)
edge,"Mozilla/5.0 (Windows NT 10.1;) AppleWebKit/602.39 (KHTML, like Gecko) Chrome/50.0.2735.176 Safari/537.7 Edge/10.28726"
chrome,"Mozilla/5.0 (Linux i586 x86_64; en-US) AppleWebKit/603.32 (KHTML, like Gecko) Chrome/49.0.1532.226 Safari/602"
android,"Mozilla/5.0 (Android; Android 4.4.1; SM-G900W8 Build/KOT49H) AppleWebKit/533.41 (KHTML, like Gecko)  Chrome/47.0.1975.349 Mobile Safari/537.7"
explorer,Mozilla/5.0 (compatible; MSIE 7.0; Windows; Windows NT 6.3;; en-US Trident/4.0)
explorer,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.3; Win64; x64 Trident/5.0)
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_9_9; like Mac OS X) AppleWebKit/603.4 (KHTML, like Gecko)  Chrome/54.0.1765.160 Mobile Safari/602.4"
mobile,"Mozilla/5.0 (iPad; CPU iPad OS 7_5_5 like Mac OS X) AppleWebKit/533.36 (KHTML, like Gecko)  Chrome/50.0.2737.146 Mobile Safari/602.2"
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.0;; en-US) AppleWebKit/602.8 (KHTML, like Gecko) Chrome/47.0.2445.253 Safari/601.2 Edge/9.61309"
mobile,"Mozilla/5.0 (Linux; U; Android 4.4.4; SAMSUNG SM-N8000 Build/KVT49L) AppleWebKit/534.16 (KHTML, like Gecko)  Chrome/52.0.2492.361 Mobile Safari/536.8"
chrome,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 8_5_2) AppleWebKit/535.15 (KHTML, like Gecko) Chrome/48.0.2641.111 Safari/600"
mobile,"Mozilla/5.0 (Linux; U; Android 5.0.1; SM-P805 Build/LRX22G) AppleWebKit/601.49 (KHTML, like Gecko)  Chrome/54.0.1267.118 Mobile Safari/602.8"
linux,Mozilla/5.0 (Linux; Linux x86_64; en-US) Gecko/20100101 Firefox/57.4
explorer,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.1; x64 Trident/4.0)
firefox,Mozilla/5.0 (Linux; U; Linux x86_64; en-US) Gecko/20100101 Firefox/50.0
android,"Mozilla/5.0 (Linux; U; Android 4.4.4; E:number:20-23:02 Build/24.0.B.1.34) AppleWebKit/534.28 (KHTML, like Gecko)  Chrome/48.0.1527.298 Mobile Safari/600.4"
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_2) Gecko/20100101 Firefox/73.8
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_8_2; like Mac OS X) AppleWebKit/600.35 (KHTML, like Gecko)  Chrome/54.0.3803.163 Mobile Safari/601.9"
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.0;) AppleWebKit/603.27 (KHTML, like Gecko) Chrome/50.0.1864.163 Safari/536.5 Edge/9.59596"
edge,"Mozilla/5.0 (Windows; Windows NT 10.0; Win64; x64; en-US) AppleWebKit/534.41 (KHTML, like Gecko) Chrome/55.0.1930.313 Safari/537.0 Edge/9.72219"
firefox,Mozilla/5.0 (Windows; Windows NT 10.1; x64) Gecko/20100101 Firefox/67.6
linux,Mozilla/5.0 (Linux; Linux i544 ) Gecko/20100101 Firefox/49.7
linux,Mozilla/5.0 (Linux x86_64) Gecko/20100101 Firefox/46.6
firefox,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_9; en-US) Gecko/20130401 Firefox/72.8
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 7_1_4; en-US) Gecko/20100101 Firefox/52.5
linux,Mozilla/5.0 (Linux; U; Linux i685 ) Gecko/20100101 Firefox/52.2
edge,"Mozilla/5.0 (Windows NT 10.1; WOW64) AppleWebKit/536.44 (KHTML, like Gecko) Chrome/52.0.1352.279 Safari/533.1 Edge/13.16456"
firefox,Mozilla/5.0 (Windows; Windows NT 6.3;) Gecko/20130401 Firefox/71.0
chrome,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_4; en-US) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/50.0.1799.326 Safari/603"
explorer,Mozilla/5.0 (compatible; MSIE 11.0; Windows; U; Windows NT 6.2; Trident/7.0)
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 9_4_5) Gecko/20100101 Firefox/49.7
explorer,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.0; x64; en-US Trident/4.0)
edge,"Mozilla/5.0 (Windows; Windows NT 10.1; x64) AppleWebKit/536.6 (KHTML, like Gecko) Chrome/48.0.2039.384 Safari/534.6 Edge/18.52935"
firefox,Mozilla/5.0 (Windows; Windows NT 10.1;) Gecko/20100101 Firefox/66.0
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_2; en-US) Gecko/20100101 Firefox/56.2
edge,"Mozilla/5.0 (Windows NT 10.3; x64; en-US) AppleWebKit/603.18 (KHTML, like Gecko) Chrome/52.0.1720.200 Safari/600.9 Edge/10.90952"
mobile,"Mozilla/5.0 (iPad; CPU iPad OS 7_5_2 like Mac OS X) AppleWebKit/533.45 (KHTML, like Gecko)  Chrome/52.0.2678.203 Mobile Safari/603.3"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_8_9; like Mac OS X) AppleWebKit/533.2 (KHTML, like Gecko)  Chrome/52.0.1039.389 Mobile Safari/601.9"
firefox,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1; en-US) Gecko/20100101 Firefox/52.7
android,"Mozilla/5.0 (Android; Android 5.0.1; SM-P805 Build/LRX22G) AppleWebKit/537.1 (KHTML, like Gecko)  Chrome/49.0.3068.389 Mobile Safari/600.8"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_6_4; like Mac OS X) AppleWebKit/533.12 (KHTML, like Gecko)  Chrome/47.0.1061.103 Mobile Safari/535.7"
chrome,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_7_2) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/53.0.2443.265 Safari/533"
linux,Mozilla/5.0 (Linux; Linux i552 ) Gecko/20130401 Firefox/51.6
mobile,"Mozilla/5.0 (Linux; U; Android 7.1.1; Xperia Build/NDE63X) AppleWebKit/602.27 (KHTML, like Gecko)  Chrome/55.0.2328.339 Mobile Safari/603.5"
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 7_8_3; en-US) Gecko/20100101 Firefox/49.5
mobile,"Mozilla/5.0 (Android; Android 7.1.1; SAMSUNG GT-I9800 Build/KTU84P) AppleWebKit/603.14 (KHTML, like Gecko)  Chrome/55.0.3989.145 Mobile Safari/534.5"
mac,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_4_7; en-US) AppleWebKit/603.21 (KHTML, like Gecko) Chrome/49.0.1741.218 Safari/536"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_8; like Mac OS X) AppleWebKit/535.17 (KHTML, like Gecko)  Chrome/55.0.2692.281 Mobile Safari/601.6"
windows,"Mozilla/5.0 (Windows; U; Windows NT 6.2; x64) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/50.0.3881.177 Safari/603.5 Edge/16.36163"
windows,Mozilla/5.0 (compatible; MSIE 7.0; Windows; U; Windows NT 6.0; WOW64; en-US Trident/4.0)
windows,Mozilla/5.0 (compatible; MSIE 7.0; Windows; Windows NT 10.2; Trident/4.0)
android,"Mozilla/5.0 (Linux; U; Android 5.0; SM-A700I Build/LRX22G) AppleWebKit/537.29 (KHTML, like Gecko)  Chrome/49.0.1843.129 Mobile Safari/537.7"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_9_1; like Mac OS X) AppleWebKit/603.40 (KHTML, like Gecko)  Chrome/49.0.2648.152 Mobile Safari/603.7"
android,"Mozilla/5.0 (Linux; U; Android 4.4.1; SM-N8010 Build/JZO54K) AppleWebKit/534.47 (KHTML, like Gecko)  Chrome/54.0.2566.137 Mobile Safari/601.4"
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_12_1) Gecko/20130401 Firefox/67.6
linux,Mozilla/5.0 (Linux; U; Linux i660 x86_64; en-US) Gecko/20130401 Firefox/50.9
chrome,"Mozilla/5.0 (Macintosh; Intel Mac OS X 9_4_2) AppleWebKit/535.35 (KHTML, like Gecko) Chrome/54.0.1449.117 Safari/603"
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.4; Win64; x64) AppleWebKit/600.9 (KHTML, like Gecko) Chrome/52.0.3215.362 Safari/601.4 Edge/16.86615"
linux,Mozilla/5.0 (Linux; U; Linux i681 x86_64) Gecko/20100101 Firefox/64.2
mac,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_11_7) AppleWebKit/602.24 (KHTML, like Gecko) Chrome/55.0.3584.173 Safari/601"
mac,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 9_3_9) AppleWebKit/601.17 (KHTML, like Gecko) Chrome/49.0.1271.358 Safari/601"
mobile,"Mozilla/5.0 (iPad; CPU iPad OS 8_7_1 like Mac OS X) AppleWebKit/603.14 (KHTML, like Gecko)  Chrome/55.0.3815.260 Mobile Safari/603.0"
chrome,"Mozilla/5.0 (Windows NT 10.4;) AppleWebKit/602.48 (KHTML, like Gecko) Chrome/49.0.1992.391 Safari/601"
mobile,"Mozilla/5.0 (iPad; CPU iPad OS 7_7_8 like Mac OS X) AppleWebKit/603.3 (KHTML, like Gecko)  Chrome/48.0.2149.349 Mobile Safari/537.6"
edge,"Mozilla/5.0 (Windows; Windows NT 10.1; x64; en-US) AppleWebKit/533.27 (KHTML, like Gecko) Chrome/54.0.3028.188 Safari/601.2 Edge/12.95956"
explorer,Mozilla/5.0 (compatible; MSIE 7.0; Windows; U; Windows NT 6.3; WOW64 Trident/4.0)
firefox,Mozilla/5.0 (U; Linux x86_64; en-US) Gecko/20100101 Firefox/70.2
windows,Mozilla/5.0 (Windows; Windows NT 6.0; Win64; x64) Gecko/20100101 Firefox/73.9
linux,Mozilla/5.0 (U; Linux i676 x86_64) Gecko/20100101 Firefox/51.0
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.3; Win64; x64) AppleWebKit/600.4 (KHTML, like Gecko) Chrome/52.0.3296.189 Safari/600.1 Edge/12.51399"
firefox,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 7_2_0) Gecko/20100101 Firefox/61.3
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_4_8; like Mac OS X) AppleWebKit/535.28 (KHTML, like Gecko)  Chrome/53.0.3279.101 Mobile Safari/601.8"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_6_6; like Mac OS X) AppleWebKit/600.5 (KHTML, like Gecko)  Chrome/54.0.1052.184 Mobile Safari/533.9"
firefox,Mozilla/5.0 (Linux i561 ) Gecko/20100101 Firefox/69.2
mobile,"Mozilla/5.0 (Linux; U; Android 6.0.1; Nexus 5P Build/MDB08I) AppleWebKit/535.2 (KHTML, like Gecko)  Chrome/53.0.1351.222 Mobile Safari/600.3"
explorer,Mozilla/5.0 (compatible; MSIE 10.0; Windows; Windows NT 6.2; Win64; x64; en-US Trident/6.0)
explorer,Mozilla/5.0 (compatible; MSIE 11.0; Windows; Windows NT 6.2;; en-US Trident/7.0)
windows,Mozilla/5.0 (Windows; U; Windows NT 6.2;; en-US) Gecko/20100101 Firefox/57.3
mac,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 9_5_7; en-US) AppleWebKit/600.7 (KHTML, like Gecko) Chrome/48.0.3889.242 Safari/533"
firefox,Mozilla/5.0 (Macintosh; Intel Mac OS X 8_5_4) Gecko/20100101 Firefox/67.8
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_7_1; like Mac OS X) AppleWebKit/536.41 (KHTML, like Gecko)  Chrome/49.0.1155.179 Mobile Safari/602.2"
chrome,"Mozilla/5.0 (Linux; Linux x86_64) AppleWebKit/602.14 (KHTML, like Gecko) Chrome/55.0.1885.362 Safari/602"
android,"Mozilla/5.0 (Android; Android 5.1; MOTO E XT1021 Build/LPD23) AppleWebKit/535.7 (KHTML, like Gecko)  Chrome/49.0.3630.294 Mobile Safari/602.4"
mobile,"Mozilla/5.0 (Android; Android 4.4; LG Optimus G Build/KRT16M) AppleWebKit/603.8 (KHTML, like Gecko)  Chrome/55.0.3450.247 Mobile Safari/601.1"
mobile,"Mozilla/5.0 (Linux; Android 6.0; HTC One_M8 Build/MRA58K) AppleWebKit/536.23 (KHTML, like Gecko)  Chrome/50.0.2875.350 Mobile Safari/536.9"
edge,"Mozilla/5.0 (Windows NT 10.4;; en-US) AppleWebKit/601.37 (KHTML, like Gecko) Chrome/55.0.1898.254 Safari/537.0 Edge/8.95332"
chrome,"Mozilla/5.0 (Linux; U; Linux i553 x86_64; en-US) AppleWebKit/602.13 (KHTML, like Gecko) Chrome/48.0.1807.294 Safari/602"
windows,Mozilla/5.0 (compatible; MSIE 7.0; Windows; U; Windows NT 6.2; Win64; x64 Trident/4.0)
chrome,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_2_0; en-US) AppleWebKit/601.30 (KHTML, like Gecko) Chrome/49.0.3599.160 Safari/603"
linux,Mozilla/5.0 (Linux; U; Linux x86_64; en-US) Gecko/20100101 Firefox/66.1
android,"Mozilla/5.0 (Android; Android 7.1.1; Nexus 7X Build/NME91E) AppleWebKit/537.38 (KHTML, like Gecko)  Chrome/55.0.2691.299 Mobile Safari/533.9"
android,"Mozilla/5.0 (Linux; U; Android 5.1.1; SM-G925FD Build/LRX22G) AppleWebKit/602.21 (KHTML, like Gecko)  Chrome/50.0.1994.166 Mobile Safari/533.6"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_9_7; like Mac OS X) AppleWebKit/537.38 (KHTML, like Gecko)  Chrome/49.0.2557.199 Mobile Safari/534.1"
linux,"Mozilla/5.0 (Linux; U; Linux x86_64; en-US) AppleWebKit/600.14 (KHTML, like Gecko) Chrome/51.0.1859.146 Safari/534"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_1_1; like Mac OS X) AppleWebKit/601.4 (KHTML, like Gecko)  Chrome/55.0.3974.196 Mobile Safari/537.4"
edge,"Mozilla/5.0 (Windows; Windows NT 10.3; WOW64) AppleWebKit/602.24 (KHTML, like Gecko) Chrome/51.0.1892.111 Safari/603.2 Edge/11.85832"
explorer,Mozilla/5.0 (compatible; MSIE 8.0; Windows; Windows NT 6.3; x64; en-US Trident/4.0)
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_2_6; like Mac OS X) AppleWebKit/601.6 (KHTML, like Gecko)  Chrome/47.0.3604.235 Mobile Safari/535.1"
linux,Mozilla/5.0 (U; Linux x86_64; en-US) Gecko/20100101 Firefox/48.0
android,"Mozilla/5.0 (Linux; Android 4.4.4; SAMSUNG SM-N8000 Build/JZO54K) AppleWebKit/533.30 (KHTML, like Gecko)  Chrome/53.0.1730.376 Mobile Safari/534.7"
edge,"Mozilla/5.0 (Windows NT 10.1; x64; en-US) AppleWebKit/603.38 (KHTML, like Gecko) Chrome/54.0.2217.207 Safari/536.9 Edge/17.48889"
edge,"Mozilla/5.0 (Windows; Windows NT 10.1;) AppleWebKit/600.11 (KHTML, like Gecko) Chrome/47.0.3604.135 Safari/601.7 Edge/16.67136"
windows,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; WOW64; en-US Trident/4.0)
chrome,"Mozilla/5.0 (Windows; U; Windows NT 10.4; x64) AppleWebKit/602.9 (KHTML, like Gecko) Chrome/50.0.2066.360 Safari/602"
linux,Mozilla/5.0 (Linux; U; Linux i562 ; en-US) Gecko/20100101 Firefox/49.8
android,"Mozilla/5.0 (Linux; U; Android 7.1.1; Nexus 9 Build/NME91E) AppleWebKit/534.38 (KHTML, like Gecko)  Chrome/55.0.1933.233 Mobile Safari/535.5"
explorer,Mozilla/5.0 (compatible; MSIE 11.0; Windows; U; Windows NT 6.3; x64 Trident/7.0)
mobile,"Mozilla/5.0 (Linux; Android 4.4; Nexus5 V7.1 Build/KOT49H) AppleWebKit/603.19 (KHTML, like Gecko)  Chrome/49.0.3241.277 Mobile Safari/602.2"
chrome,"Mozilla/5.0 (Windows NT 10.1; Win64; x64; en-US) AppleWebKit/536.8 (KHTML, like Gecko) Chrome/50.0.3437.170 Safari/533"
linux,"Mozilla/5.0 (Linux i686 ; en-US) AppleWebKit/534.2 (KHTML, like Gecko) Chrome/53.0.3978.167 Safari/601"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_0_3; like Mac OS X) AppleWebKit/603.17 (KHTML, like Gecko)  Chrome/48.0.1237.150 Mobile Safari/602.5"
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_4_5; en-US) Gecko/20100101 Firefox/74.3
explorer,Mozilla/5.0 (compatible; MSIE 11.0; Windows NT 6.2; Trident/7.0)
mac,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 8_4_8; en-US) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/47.0.2743.246 Safari/602"
edge,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/601.47 (KHTML, like Gecko) Chrome/52.0.2356.162 Safari/602.1 Edge/14.45295"
firefox,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 9_9_0; en-US) Gecko/20100101 Firefox/70.0
android,"Mozilla/5.0 (Android; Android 5.1; SM-G9350F-ORANGE Build/LMY47X) AppleWebKit/533.19 (KHTML, like Gecko)  Chrome/55.0.3123.330 Mobile Safari/536.0"
chrome,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_1) AppleWebKit/536.30 (KHTML, like Gecko) Chrome/55.0.2225.386 Safari/600"
linux,"Mozilla/5.0 (Linux; U; Linux x86_64) AppleWebKit/600.19 (KHTML, like Gecko) Chrome/50.0.1443.321 Safari/534"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_1_6; like Mac OS X) AppleWebKit/603.7 (KHTML, like Gecko)  Chrome/55.0.3410.316 Mobile Safari/600.4"
firefox,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_7; en-US) Gecko/20100101 Firefox/73.2
linux,"Mozilla/5.0 (Linux; U; Linux i645 x86_64; en-US) AppleWebKit/601.1 (KHTML, like Gecko) Chrome/52.0.2918.105 Safari/537"
explorer,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.2;; en-US Trident/4.0)
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 9_4_8) Gecko/20100101 Firefox/63.0
mac,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_7_2; en-US) AppleWebKit/602.36 (KHTML, like Gecko) Chrome/52.0.3105.217 Safari/603"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_2_9; like Mac OS X) AppleWebKit/534.3 (KHTML, like Gecko)  Chrome/54.0.3555.171 Mobile Safari/536.1"
linux,"Mozilla/5.0 (Linux; U; Linux i645 ) AppleWebKit/537.48 (KHTML, like Gecko) Chrome/54.0.2462.326 Safari/603"
explorer,Mozilla/5.0 (compatible; MSIE 11.0; Windows; Windows NT 6.1;; en-US Trident/7.0)
mobile,"Mozilla/5.0 (Linux; U; Android 4.4; LG-V510 Build/KOT49I) AppleWebKit/602.16 (KHTML, like Gecko)  Chrome/55.0.1921.380 Mobile Safari/535.2"
mac,"Mozilla/5.0 (Macintosh; Intel Mac OS X 7_7_3) AppleWebKit/603.3 (KHTML, like Gecko) Chrome/48.0.3469.295 Safari/533"
linux,Mozilla/5.0 (Linux; Linux i646 ) Gecko/20100101 Firefox/57.7
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_9_3; like Mac OS X) AppleWebKit/602.26 (KHTML, like Gecko)  Chrome/47.0.3096.383 Mobile Safari/601.6"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_2_0; like Mac OS X) AppleWebKit/536.24 (KHTML, like Gecko)  Chrome/54.0.3166.368 Mobile Safari/533.5"
mac,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_6) AppleWebKit/535.35 (KHTML, like Gecko) Chrome/51.0.1032.265 Safari/533"
linux,Mozilla/5.0 (U; Linux i646 x86_64) Gecko/20100101 Firefox/70.7
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.0; WOW64; en-US) AppleWebKit/533.29 (KHTML, like Gecko) Chrome/55.0.3745.220 Safari/535.7 Edge/16.61928"
windows,"Mozilla/5.0 (Windows NT 6.1;; en-US) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/50.0.1328.212 Safari/535"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2; like Mac OS X) AppleWebKit/536.21 (KHTML, like Gecko)  Chrome/51.0.1453.202 Mobile Safari/537.3"
android,"Mozilla/5.0 (Linux; Android 7.1.1; Pixel C Build/NRD90M) AppleWebKit/534.15 (KHTML, like Gecko)  Chrome/54.0.3703.311 Mobile Safari/603.1"
firefox,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_6; en-US) Gecko/20130401 Firefox/55.9
android,"Mozilla/5.0 (Android; Android 5.1; Nexus 6 Build/LMY48B) AppleWebKit/533.1 (KHTML, like Gecko)  Chrome/50.0.2807.352 Mobile Safari/601.8"
linux,Mozilla/5.0 (Linux; Linux i641 ; en-US) Gecko/20130401 Firefox/55.0
mobile,"Mozilla/5.0 (Android; Android 4.4.4; IQ4503 Quad Build/KOT49H) AppleWebKit/533.2 (KHTML, like Gecko)  Chrome/54.0.2328.213 Mobile Safari/600.5"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_0_3; like Mac OS X) AppleWebKit/603.50 (KHTML, like Gecko)  Chrome/52.0.3876.334 Mobile Safari/533.0"
explorer,Mozilla/5.0 (compatible; MSIE 10.0; Windows; U; Windows NT 6.2; WOW64 Trident/6.0)
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_4_1; en-US) Gecko/20130401 Firefox/57.3
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.1; WOW64) AppleWebKit/603.43 (KHTML, like Gecko) Chrome/50.0.2647.165 Safari/537.1 Edge/10.98638"
explorer,Mozilla/5.0 (compatible; MSIE 9.0; Windows; U; Windows NT 6.0;; en-US Trident/5.0)
chrome,"Mozilla/5.0 (Windows; U; Windows NT 10.5;) AppleWebKit/535.7 (KHTML, like Gecko) Chrome/55.0.1431.192 Safari/601"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_1_6; like Mac OS X) AppleWebKit/601.22 (KHTML, like Gecko)  Chrome/48.0.1132.256 Mobile Safari/603.8"
explorer,Mozilla/5.0 (compatible; MSIE 10.0; Windows; U; Windows NT 6.3; x64; en-US Trident/6.0)
explorer,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; Win64; x64; en-US Trident/4.0)
edge,"Mozilla/5.0 (Windows; Windows NT 10.0; Win64; x64; en-US) AppleWebKit/600.43 (KHTML, like Gecko) Chrome/49.0.1898.145 Safari/535.6 Edge/16.63248"
firefox,Mozilla/5.0 (Linux; U; Linux i580 x86_64) Gecko/20130401 Firefox/64.5
mobile,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_7_1; like Mac OS X) AppleWebKit/536.25 (KHTML, like Gecko)  Chrome/53.0.3354.238 Mobile Safari/603.1"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_5_5; like Mac OS X) AppleWebKit/603.37 (KHTML, like Gecko)  Chrome/51.0.2630.191 Mobile Safari/536.0"
windows,"Mozilla/5.0 (Windows; Windows NT 10.2; WOW64; en-US) AppleWebKit/536.40 (KHTML, like Gecko) Chrome/49.0.1532.318 Safari/537.0 Edge/15.53247"
android,"Mozilla/5.0 (Android; Android 4.4.4; E:number:20-23:30 Build/24.0.B.1.34) AppleWebKit/535.36 (KHTML, like Gecko)  Chrome/51.0.1330.104 Mobile Safari/534.0"
